symbol,entry_ts,exit_ts,entry,exit,why,pnl,rise_pct,rise_bars,retrace_bars,qv24h,taker_buy_60,vol60_bp,n_legs,entry_at
MASKUSDT,1725211200000,1725213000000,2.0217,2.0041,TIME,1.5211,7.63,39,70,33157062.3873,0.4911,33.25,1,2024-09-01 17:20:00
REEFUSDT,1725471960000,1725473760000,0.001111,0.001082,TIME,5.0005,13.49,17,61,397839449.16608095,0.4904,58.32,1,2024-09-04 17:46:00
SAGAUSDT,1725631200000,1725633000000,1.3344,1.3142,TIME,2.8076,7.09,23,81,171783647.42801,0.4888,39.17,1,2024-09-06 14:00:00
NEIROETHUSDT,1725639360000,1725641160000,0.1374,0.1389,TIME,-2.4034,12.39,9,116,47968456.8718,0.4934,87.5,1,2024-09-06 16:16:00
NEIROETHUSDT,1725656040000,1725656460000,0.1263,0.12082349698218468,TP,8.4522,7.67,15,40,118120266.89799999,0.5107,78.16,2,2024-09-06 20:54:00
NEIROETHUSDT,1725664140000,1725665700000,0.1304,0.13597822222222222,SL,-8.7756,8.05,17,67,151301197.7608,0.4939,69.97,2,2024-09-06 23:09:00
NEIROETHUSDT,1726468320000,1726468980000,0.1241,0.11252224702454383,TP,18.4387,17.73,14,39,375328611.24740005,0.4911,148.98,1,2024-09-16 06:32:00
NEIROETHUSDT,1726494360000,1726495440000,0.0822,0.07827206365724654,TP,9.337,8.5,11,99,940084884.1941,0.4835,65.6,2,2024-09-16 13:46:00
1MBABYDOGEUSDT,1726497720000,1726498320000,0.0019239,0.0018345666836136379,TP,9.0667,8.25,12,36,155731908.3828974,0.4957,103.13,2,2024-09-16 14:42:00
NEIROUSDT,1726497960000,1726498800000,0.0003701,0.00038593205555555556,SL,-8.7756,7.51,5,10,137011648.9369044,0.4997,151.4,3,2024-09-16 14:46:00
NEIROUSDT,1726499100000,1726500000000,0.0003725,0.00038843472222222224,SL,-8.7756,12.81,8,57,151709638.06737253,0.4905,143.4,3,2024-09-16 15:05:00
NEIROUSDT,1726503780000,1726504140000,0.0003953,0.0004122100555555556,SL,-8.7756,7.34,7,18,215403056.84806907,0.5202,89.49,5,2024-09-16 16:23:00
