symbol,entry_ts,exit_ts,entry,exit,why,pnl,rise_pct,entry_at
MASKUSDT,1725211200000,1725213000000,2.0217,2.0041,TIME,1.5211,7.63,2024-09-01 17:20:00
REEFUSDT,1725471960000,1725473760000,0.001111,0.001082,TIME,5.0005,13.49,2024-09-04 17:46:00
SAGAUSDT,1725631200000,1725633000000,1.3344,1.3142,TIME,2.8076,7.09,2024-09-06 14:00:00
NEIROETHUSDT,1725639360000,1725641160000,0.1374,0.1389,TIME,-2.4034,12.39,2024-09-06 16:16:00
NEIROETHUSDT,1725656040000,1725656460000,0.1263,0.12082349698218468,TP,8.4522,7.67,2024-09-06 20:54:00
NEIROETHUSDT,1725664140000,1725665700000,0.1304,0.13597822222222222,SL,-8.7756,8.05,2024-09-06 23:09:00
NEIROETHUSDT,1726468320000,1726468980000,0.1241,0.11252224702454383,TP,18.4387,17.73,2024-09-16 06:32:00
NEIROETHUSDT,1726494360000,1726495440000,0.0822,0.07827206365724654,TP,9.337,8.5,2024-09-16 13:46:00
1MBABYDOGEUSDT,1726497720000,1726498320000,0.0019239,0.0018345666836136379,TP,9.0667,8.25,2024-09-16 14:42:00
NEIROUSDT,1726497960000,1726498800000,0.0003701,0.00038593205555555556,SL,-8.7756,7.51,2024-09-16 14:46:00
NEIROUSDT,1726499100000,1726500000000,0.0003725,0.00038843472222222224,SL,-8.7756,12.81,2024-09-16 15:05:00
NEIROUSDT,1726503780000,1726504140000,0.0003953,0.0004122100555555556,SL,-8.7756,7.34,2024-09-16 16:23:00
NEIROUSDT,1726592880000,1726593840000,0.000603,0.000628795,SL,-8.7756,10.78,2024-09-17 17:08:00
OMGUSDT,1726610760000,1726612560000,0.3189,0.3206,TIME,-1.2862,7.28,2024-09-17 22:06:00
NEIROUSDT,1726623180000,1726624980000,0.0008152,0.0008185,TIME,-1.0296,9.13,2024-09-18 01:33:00
SAGAUSDT,1726624800000,1726626600000,1.942,1.9678,TIME,-2.8771,7.21,2024-09-18 02:00:00
CKBUSDT,1726635900000,1726637700000,0.018095,0.018604,TIME,-5.8459,7.5,2024-09-18 05:05:00
1MBABYDOGEUSDT,1726653240000,1726655040000,0.0021583,0.0022073,TIME,-4.7606,8.04,2024-09-18 09:54:00
UXLINKUSDT,1726728780000,1726730580000,0.675,0.6762,TIME,-0.5756,7.33,2024-09-19 06:53:00
NEIROUSDT,1726764420000,1726766220000,0.0009401,0.0009494,TIME,-2.1985,7.33,2024-09-19 16:47:00
FIOUSDT,1726837680000,1726838460000,0.04386,0.045736233333333334,SL,-8.7756,13.9,2024-09-20 13:08:00
LOOMUSDT,1726907520000,1726908180000,0.05622,0.05862496666666667,SL,-8.7756,8.73,2024-09-21 08:32:00
LOOMUSDT,1726918620000,1726920420000,0.06209,0.06302,TIME,-3.2157,8.18,2024-09-21 11:37:00
DODOXUSDT,1726921020000,1726922820000,0.146664,0.143364,TIME,4.2801,7.47,2024-09-21 12:17:00
REEFUSDT,1727063460000,1727064960000,0.004406,0.0045944788888888895,SL,-8.7756,7.44,2024-09-23 03:51:00
NEIROETHUSDT,1727066220000,1727068020000,0.088,0.0884,TIME,-1.1291,9.2,2024-09-23 04:37:00
NEIROUSDT,1727278020000,1727279820000,0.0012159,0.001177,TIME,6.1786,11.46,2024-09-25 15:27:00
HMSTRUSDT,1727360700000,1727361780000,0.008441,0.008100207189982144,TP,7.8547,7.11,2024-09-26 14:25:00
USTCUSDT,1727619480000,1727621280000,0.02537,0.02462,TIME,5.6925,7.16,2024-09-29 14:18:00
LUNA2USDT,1727622180000,1727623980000,0.4645,0.4702,TIME,-2.6743,8.48,2024-09-29 15:03:00
EIGENUSDT,1727769420000,1727771220000,4.176,4.177,TIME,-0.2679,9.07,2024-10-01 07:57:00
WUSDT,1727803200000,1727803680000,0.2816,0.29364622222222225,SL,-8.7756,7.33,2024-10-01 17:20:00
EIGENUSDT,1727974920000,1727976720000,3.446,3.526,TIME,-4.8631,7.34,2024-10-03 17:02:00
REEFUSDT,1728052320000,1728054120000,0.006946,0.006924,TIME,0.4135,9.13,2024-10-04 14:32:00
SAGAUSDT,1728229800000,1728231600000,2.4397,2.442,TIME,-0.4085,7.02,2024-10-06 15:50:00
OMGUSDT,1728332220000,1728334020000,0.2991,0.2968,TIME,1.3179,8.07,2024-10-07 20:17:00
REEFUSDT,1728952380000,1728954180000,0.009437,0.009292,TIME,2.853,9.88,2024-10-15 00:33:00
REEFUSDT,1728985080000,1728985980000,0.004169,0.0043473405555555554,SL,-8.7756,7.18,2024-10-15 09:38:00
