variant,n,win,mu,tot,t
기준 (신호봉 종가),14646,44.61969138331285,-0.32841118394100793,-4809.910200000002,-4.9022767381263295
지연 1분,14508,45.07168458781362,-0.2689074786324788,-3901.3097000000025,-4.018851157887245
지연 2분,14430,45.31531531531531,-0.30311306999307025,-4373.921600000003,-4.611382910435808
지연 3분,14352,45.18534002229654,-0.36355656354515065,-5217.763800000002,-5.544026894540542
지연 5분,14242,45.92753826709732,-0.2632485957028509,-3749.1865000000025,-4.070009751467398
지연 10분,14007,46.53387591918327,-0.2428901120868139,-3402.1618000000026,-3.8269622813544504
반등 0.5% 대기 (5분),12281,45.81874440192167,-0.19863396303232653,-2439.423700000002,-2.615258346277636
반등 0.5% 대기 (10분),12907,46.006043232354536,-0.18314674982567622,-2363.875100000003,-2.4932305735120814
반등 1.0% 대기 (5분),9898,45.49403919983835,-0.0823698524954538,-815.2968000000017,-0.9341853950537627
반등 1.0% 대기 (10분),11056,46.083574529667146,-0.07131162264833595,-788.4213000000022,-0.8738352337879989
반등 1.5% 대기 (5분),7871,45.17850336678948,-0.10583265150552679,-833.0088000000013,-1.0334714328356287
반등 1.5% 대기 (10분),9315,45.96886741814278,-0.07167861513687619,-667.6863000000017,-0.7847523928665786
반등 2.0% 대기 (5분),6282,45.717924227952885,0.033545017510346796,210.72979999999856,0.2842601143018347
반등 2.0% 대기 (10분),7828,46.89575881451201,0.07417812979049547,580.6663999999986,0.727359645339868
