feat,p_mw,med_win,med_loss,rho,p_rho,q_mw,q_rho
ichi_conv_base|entry_m_top,0.004744538000883214,-2.2991468859238084,-2.9070151200839334,0.11116226460733497,0.025460724643521494,0.9832415517135147,0.998188017608607
mass|entry_m_top,0.007897561126602552,-1.581139486269084,-0.2880505331587955,-0.1524987238177912,0.0021143198851275775,0.9832415517135147,0.4582788351014024
tk_buy15|entry_m_top,0.01082444017381423,-3.5947277391099917,-2.590829549655364,-0.11621055768333476,0.027042382329409507,0.9832415517135147,0.998188017608607
ulcer|entry_m_top,0.011620315940950598,2.18895129104882,2.750215753848038,-0.1393259756083135,0.005024859770408693,0.9832415517135147,0.5445691776180421
mfi|entry_m_top,0.014380303903602707,-51.042000586490246,-46.7540531000948,-0.09257029921354419,0.06304585804992341,0.9832415517135147,0.998188017608607
sma5_20_x|watch_min,0.01657233735319931,-2.999839448691499,-3.4457320259428825,0.09007519422315942,0.07051982659027647,0.9832415517135147,0.998188017608607
zscore60|watch_max,0.01918363049319757,3.873411465258387,3.623364495640456,0.07343730237374439,0.1406194619360249,0.9832415517135147,0.998188017608607
ao|watch_min,0.021900570923467356,-3.2144698226362274,-4.091734585400439,0.08267833250590137,0.09701365734979739,0.9832415517135147,0.998188017608607
ulcer|at_entry,0.02217247480973268,3.4010230026216117,3.778456197353704,-0.10671321888185509,0.03200166661917621,0.9832415517135147,0.998188017608607
tk_buy60|entry_m_top,0.023160661177783117,-1.078242558696406,-0.7403863648731459,-0.1420682892452694,0.007176584288323644,0.9832415517135147,0.6312493463085331
ichi_conv_base|at_entry,0.02366397553292131,-0.8621888471700867,-1.0943654331470043,0.05719555560397875,0.25138429774624116,0.9832415517135147,0.998188017608607
roc15|retr_mean,0.024836507596277944,-0.5472390667907324,-0.8336626846569617,0.1287569120849223,0.009576554824226743,0.9832415517135147,0.6386825409695835
roc15|watch_min,0.024918815457265396,-7.05932383584946,-7.839608379526322,0.10548295012892586,0.03404586834543689,0.9832415517135147,0.998188017608607
bb_pctb|watch_max,0.024918868135047848,1.3371650258038763,1.3105075412662777,0.06360065327798992,0.20206576178704078,0.9832415517135147,0.998188017608607
zscore20|watch_max,0.02494638733954026,3.26387013004972,3.159940124879451,0.06356816574337214,0.20229676575001754,0.9832415517135147,0.998188017608607
sma20_dev|watch_min,0.029446054264429717,-5.0825652452328285,-5.649694333894062,0.12921312070597676,0.009322038231301878,0.9832415517135147,0.6386825409695835
tk_buy1|watch_slope,0.0350071619173732,-0.02118515121298365,-0.0174269111338145,-0.08420149549831456,0.10974433917635618,0.9832415517135147,0.998188017608607
